i1	V(n001)
1.000000000000000e-03	4.579911e-01
2.000000000000000e-03	4.799170e-01
3.000000000000000e-03	4.927856e-01
4.000000000000000e-03	5.021477e-01
5.000000000000000e-03	5.091857e-01
6.000000000000000e-03	5.149971e-01
7.000000000000000e-03	5.199751e-01
8.000000000000000e-03	5.243145e-01
9.000000000000001e-03	5.281618e-01
1.000000000000000e-02	5.316206e-01
1.100000000000000e-02	5.347646e-01
1.200000000000000e-02	5.376486e-01
1.300000000000000e-02	5.403141e-01
1.400000000000001e-02	5.427936e-01
1.500000000000001e-02	5.451126e-01
1.600000000000001e-02	5.472919e-01
1.700000000000001e-02	5.493484e-01
1.800000000000001e-02	5.512961e-01
1.900000000000001e-02	5.531468e-01
2.000000000000001e-02	5.549105e-01
2.100000000000001e-02	5.565956e-01
2.200000000000001e-02	5.582094e-01
2.300000000000001e-02	5.597582e-01
2.400000000000001e-02	5.612477e-01
2.500000000000002e-02	5.626826e-01
2.600000000000002e-02	5.640672e-01
2.700000000000002e-02	5.654052e-01
2.800000000000002e-02	5.667002e-01
2.900000000000002e-02	5.679550e-01
3.000000000000002e-02	5.691724e-01
3.100000000000002e-02	5.703549e-01
3.200000000000002e-02	5.715047e-01
3.300000000000002e-02	5.726236e-01
3.400000000000002e-02	5.737137e-01
3.500000000000002e-02	5.747765e-01
3.600000000000003e-02	5.758136e-01
3.700000000000003e-02	5.768264e-01
3.800000000000003e-02	5.778161e-01
3.900000000000003e-02	5.787840e-01
4.000000000000003e-02	5.797312e-01
4.100000000000003e-02	5.806587e-01
4.200000000000003e-02	5.815673e-01
4.300000000000003e-02	5.824581e-01
4.400000000000003e-02	5.833318e-01
4.500000000000003e-02	5.841891e-01
4.600000000000003e-02	5.850309e-01
4.700000000000003e-02	5.858576e-01
4.800000000000004e-02	5.866700e-01
4.900000000000004e-02	5.874687e-01
5.000000000000004e-02	5.882542e-01
5.100000000000004e-02	5.890270e-01
5.200000000000004e-02	5.897876e-01
5.300000000000004e-02	5.905364e-01
5.400000000000004e-02	5.912740e-01
5.500000000000004e-02	5.920006e-01
5.600000000000004e-02	5.927167e-01
5.700000000000004e-02	5.934226e-01
5.800000000000004e-02	5.941188e-01
5.900000000000005e-02	5.948054e-01
6.000000000000005e-02	5.954829e-01
6.100000000000005e-02	5.961515e-01
6.200000000000005e-02	5.968115e-01
6.300000000000004e-02	5.974631e-01
6.400000000000004e-02	5.981067e-01
6.500000000000004e-02	5.987425e-01
6.600000000000004e-02	5.993707e-01
6.700000000000005e-02	5.999915e-01
6.800000000000005e-02	6.006052e-01
6.900000000000005e-02	6.012118e-01
7.000000000000005e-02	6.018118e-01
7.100000000000005e-02	6.024051e-01
7.200000000000005e-02	6.029920e-01
7.300000000000005e-02	6.035727e-01
7.400000000000005e-02	6.041473e-01
7.500000000000005e-02	6.047160e-01
7.600000000000005e-02	6.052789e-01
7.700000000000005e-02	6.058362e-01
7.800000000000006e-02	6.063880e-01
7.900000000000006e-02	6.069345e-01
8.000000000000006e-02	6.074758e-01
8.100000000000006e-02	6.080119e-01
8.200000000000006e-02	6.085431e-01
8.300000000000006e-02	6.090693e-01
8.400000000000006e-02	6.095909e-01
8.500000000000006e-02	6.101078e-01
8.600000000000006e-02	6.106201e-01
8.700000000000006e-02	6.111280e-01
8.800000000000006e-02	6.116316e-01
8.900000000000007e-02	6.121308e-01
9.000000000000007e-02	6.126259e-01
9.100000000000007e-02	6.131169e-01
9.200000000000007e-02	6.136039e-01
9.300000000000007e-02	6.140870e-01
9.400000000000007e-02	6.145663e-01
9.500000000000007e-02	6.150418e-01
9.600000000000007e-02	6.155136e-01
9.700000000000007e-02	6.159817e-01
9.800000000000007e-02	6.164463e-01
9.900000000000007e-02	6.169074e-01
1.000000000000001e-01	6.173651e-01
1.010000000000001e-01	6.178194e-01
1.020000000000001e-01	6.182705e-01
1.030000000000001e-01	6.187182e-01
1.040000000000001e-01	6.191628e-01
1.050000000000001e-01	6.196043e-01
1.060000000000001e-01	6.200427e-01
1.070000000000001e-01	6.204780e-01
1.080000000000001e-01	6.209104e-01
