i1	V(n001)
1.000000000000000e-03	5.398809e-01
2.000000000000000e-03	5.670220e-01
3.000000000000000e-03	5.828800e-01
4.000000000000000e-03	5.943771e-01
5.000000000000000e-03	6.029676e-01
6.000000000000000e-03	6.100290e-01
7.000000000000000e-03	6.160555e-01
8.000000000000000e-03	6.212872e-01
9.000000000000001e-03	6.259058e-01
1.000000000000000e-02	6.300403e-01
1.100000000000000e-02	6.337829e-01
1.200000000000000e-02	6.372014e-01
1.300000000000000e-02	6.403479e-01
1.400000000000001e-02	6.432625e-01
1.500000000000001e-02	6.459773e-01
1.600000000000001e-02	6.485180e-01
1.700000000000001e-02	6.509058e-01
1.800000000000001e-02	6.531581e-01
1.900000000000001e-02	6.552896e-01
2.000000000000001e-02	6.573128e-01
2.100000000000001e-02	6.592381e-01
2.200000000000001e-02	6.610747e-01
2.300000000000001e-02	6.628304e-01
2.400000000000001e-02	6.645122e-01
2.500000000000002e-02	6.661261e-01
2.600000000000002e-02	6.676775e-01
2.700000000000002e-02	6.691709e-01
2.800000000000002e-02	6.706107e-01
2.900000000000002e-02	6.720006e-01
3.000000000000002e-02	6.733440e-01
3.100000000000002e-02	6.746440e-01
3.200000000000002e-02	6.759033e-01
3.300000000000002e-02	6.771244e-01
3.400000000000002e-02	6.783096e-01
3.500000000000002e-02	6.794609e-01
3.600000000000003e-02	6.805804e-01
3.700000000000003e-02	6.816697e-01
3.800000000000003e-02	6.827303e-01
3.900000000000003e-02	6.837640e-01
4.000000000000003e-02	6.847719e-01
4.100000000000003e-02	6.857554e-01
4.200000000000003e-02	6.867157e-01
4.300000000000003e-02	6.876538e-01
4.400000000000003e-02	6.885707e-01
4.500000000000003e-02	6.894674e-01
4.600000000000003e-02	6.903449e-01
4.700000000000003e-02	6.912039e-01
4.800000000000004e-02	6.920452e-01
4.900000000000004e-02	6.928694e-01
5.000000000000004e-02	6.936775e-01
5.100000000000004e-02	6.944699e-01
5.200000000000004e-02	6.952472e-01
5.300000000000004e-02	6.960101e-01
5.400000000000004e-02	6.967591e-01
5.500000000000004e-02	6.974947e-01
5.600000000000004e-02	6.982174e-01
5.700000000000004e-02	6.989276e-01
5.800000000000004e-02	6.996257e-01
5.900000000000005e-02	7.003123e-01
6.000000000000005e-02	7.009876e-01
6.100000000000005e-02	7.016521e-01
6.200000000000005e-02	7.023060e-01
6.300000000000004e-02	7.029498e-01
6.400000000000004e-02	7.035838e-01
6.500000000000004e-02	7.042081e-01
6.600000000000004e-02	7.048233e-01
6.700000000000005e-02	7.054295e-01
6.800000000000005e-02	7.060269e-01
6.900000000000005e-02	7.066159e-01
7.000000000000005e-02	7.071968e-01
7.100000000000005e-02	7.077696e-01
7.200000000000005e-02	7.083347e-01
7.300000000000005e-02	7.088922e-01
7.400000000000005e-02	7.094424e-01
7.500000000000005e-02	7.099854e-01
7.600000000000005e-02	7.105216e-01
7.700000000000005e-02	7.110509e-01
7.800000000000006e-02	7.115737e-01
7.900000000000006e-02	7.120900e-01
8.000000000000006e-02	7.126001e-01
8.100000000000006e-02	7.131041e-01
8.200000000000006e-02	7.136021e-01
8.300000000000006e-02	7.140942e-01
8.400000000000006e-02	7.145808e-01
8.500000000000006e-02	7.150617e-01
8.600000000000006e-02	7.155373e-01
8.700000000000006e-02	7.160076e-01
8.800000000000006e-02	7.164727e-01
8.900000000000007e-02	7.169328e-01
9.000000000000007e-02	7.173879e-01
9.100000000000007e-02	7.178382e-01
9.200000000000007e-02	7.182838e-01
9.300000000000007e-02	7.187248e-01
9.400000000000007e-02	7.191613e-01
9.500000000000007e-02	7.195933e-01
9.600000000000007e-02	7.200211e-01
9.700000000000007e-02	7.204445e-01
9.800000000000007e-02	7.208638e-01
9.900000000000007e-02	7.212791e-01
1.000000000000001e-01	7.216903e-01
1.010000000000001e-01	7.220977e-01
1.020000000000001e-01	7.225012e-01
1.030000000000001e-01	7.229009e-01
1.040000000000001e-01	7.232970e-01
1.050000000000001e-01	7.236895e-01
1.060000000000001e-01	7.240784e-01
1.070000000000001e-01	7.244638e-01
1.080000000000001e-01	7.248459e-01
1.090000000000001e-01	7.252246e-01
1.100000000000001e-01	7.255999e-01
1.110000000000001e-01	7.259721e-01
1.120000000000001e-01	7.263411e-01
1.130000000000001e-01	7.267069e-01
1.140000000000001e-01	7.270697e-01
1.150000000000001e-01	7.274296e-01
1.160000000000001e-01	7.277864e-01
1.170000000000001e-01	7.281404e-01
1.180000000000001e-01	7.284914e-01
1.190000000000001e-01	7.288397e-01
1.200000000000001e-01	7.291852e-01
1.210000000000001e-01	7.295280e-01
1.220000000000001e-01	7.298682e-01
1.230000000000001e-01	7.302057e-01
1.240000000000001e-01	7.305406e-01
1.250000000000001e-01	7.308730e-01
1.260000000000001e-01	7.312029e-01
1.270000000000001e-01	7.315303e-01
1.280000000000001e-01	7.318553e-01
1.290000000000001e-01	7.321779e-01
1.300000000000001e-01	7.324982e-01
1.310000000000001e-01	7.328162e-01
1.320000000000001e-01	7.331318e-01
1.330000000000001e-01	7.334452e-01
1.340000000000001e-01	7.337565e-01
1.350000000000001e-01	7.340655e-01
1.360000000000001e-01	7.343724e-01
1.370000000000001e-01	7.346772e-01
1.380000000000001e-01	7.349799e-01
1.390000000000001e-01	7.352806e-01
1.400000000000001e-01	7.355792e-01
1.410000000000001e-01	7.358758e-01
1.420000000000001e-01	7.361705e-01
1.430000000000001e-01	7.364632e-01
1.440000000000001e-01	7.367541e-01
1.450000000000001e-01	7.370430e-01
1.460000000000001e-01	7.373301e-01
1.470000000000001e-01	7.376153e-01
1.480000000000001e-01	7.378988e-01
1.490000000000001e-01	7.381805e-01
1.500000000000001e-01	7.384604e-01
1.510000000000001e-01	7.387385e-01
1.520000000000001e-01	7.390150e-01
1.530000000000001e-01	7.392897e-01
1.540000000000001e-01	7.395628e-01
1.550000000000001e-01	7.398342e-01
1.560000000000001e-01	7.401040e-01
1.570000000000001e-01	7.403722e-01
1.580000000000001e-01	7.406389e-01
1.590000000000001e-01	7.409039e-01
1.600000000000001e-01	7.411674e-01
1.610000000000001e-01	7.414294e-01
1.620000000000001e-01	7.416899e-01
1.630000000000001e-01	7.419488e-01
1.640000000000001e-01	7.422064e-01
1.650000000000001e-01	7.424625e-01
1.660000000000001e-01	7.427170e-01
1.670000000000001e-01	7.429703e-01
1.680000000000001e-01	7.432221e-01
1.690000000000001e-01	7.434725e-01
1.700000000000001e-01	7.437215e-01
1.710000000000001e-01	7.439693e-01
1.720000000000001e-01	7.442156e-01
1.730000000000001e-01	7.444606e-01
1.740000000000001e-01	7.447044e-01
1.750000000000001e-01	7.449468e-01
1.760000000000001e-01	7.451880e-01
1.770000000000001e-01	7.454279e-01
1.780000000000001e-01	7.456666e-01
1.790000000000001e-01	7.459040e-01
1.800000000000001e-01	7.461402e-01
1.810000000000001e-01	7.463752e-01
1.820000000000001e-01	7.466090e-01
1.830000000000001e-01	7.468416e-01
1.840000000000001e-01	7.470731e-01
1.850000000000001e-01	7.473034e-01
1.860000000000001e-01	7.475325e-01
1.870000000000001e-01	7.477606e-01
1.880000000000001e-01	7.479875e-01
1.890000000000001e-01	7.482134e-01
1.900000000000001e-01	7.484381e-01
1.910000000000001e-01	7.486617e-01
1.920000000000001e-01	7.488843e-01
1.930000000000001e-01	7.491058e-01
1.940000000000001e-01	7.493262e-01
1.950000000000001e-01	7.495456e-01
1.960000000000001e-01	7.497640e-01
1.970000000000001e-01	7.499814e-01
1.980000000000001e-01	7.501978e-01
1.990000000000001e-01	7.504131e-01
2.000000000000001e-01	7.506275e-01
2.010000000000002e-01	7.508409e-01
2.020000000000002e-01	7.510534e-01
2.030000000000002e-01	7.512649e-01
2.040000000000002e-01	7.514754e-01
2.050000000000002e-01	7.516850e-01
